GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,FINALS_GAME_ID
Shot Chart Detail,41600401,30,2544,LeBron James,1610612739,Cleveland Cavaliers,1,9,6,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,8,1,0,20170601,GSW,CLE,2016-17,41600401
Shot Chart Detail,41600401,44,2544,LeBron James,1610612739,Cleveland Cavaliers,1,8,4,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-109,228,1,0,20170601,GSW,CLE,2016-17,41600401
Shot Chart Detail,41600401,72,2544,LeBron James,1610612739,Cleveland Cavaliers,1,5,52,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20170601,GSW,CLE,2016-17,41600401
Shot Chart Detail,41600401,103,2544,LeBron James,1610612739,Cleveland Cavaliers,1,3,12,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,133,229,1,1,20170601,GSW,CLE,2016-17,41600401
Shot Chart Detail,41600401,107,2544,LeBron James,1610612739,Cleveland Cavaliers,1,2,35,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20170601,GSW,CLE,2016-17,41600401
Shot Chart Detail,41600401,152,2544,LeBron James,1610612739,Cleveland Cavaliers,2,11,46,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,11,1,1,20170601,GSW,CLE,2016-17,41600401
Shot Chart Detail,41600401,217,2544,LeBron James,1610612739,Cleveland Cavaliers,2,6,22,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,11,1,1,20170601,GSW,CLE,2016-17,41600401
Shot Chart Detail,41600401,234,2544,LeBron James,1610612739,Cleveland Cavaliers,2,5,1,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,71,252,1,0,20170601,GSW,CLE,2016-17,41600401
Shot Chart Detail,41600401,341,2544,LeBron James,1610612739,Cleveland Cavaliers,3,9,9,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-12,31,1,0,20170601,GSW,CLE,2016-17,41600401
Shot Chart Detail,41600401,349,2544,LeBron James,1610612739,Cleveland Cavaliers,3,7,53,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-204,169,1,1,20170601,GSW,CLE,2016-17,41600401
Shot Chart Detail,41600401,356,2544,LeBron James,1610612739,Cleveland Cavaliers,3,6,43,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,29,-37,296,1,0,20170601,GSW,CLE,2016-17,41600401
